day_of_year,normal_temp_range,normal_temp_ave,normal_temp_max,normal_temp_min
1-1,12.8,25.6,32,19.1
1-2,12.9,25.5,31.9,19
1-3,12.9,25.3,31.8,18.9
1-4,13,25.2,31.7,18.8
1-5,13,25.1,31.6,18.7
1-6,13,25.1,31.6,18.5
1-7,13.1,25,31.5,18.4
1-8,13.1,24.9,31.5,18.4
1-9,13.1,24.8,31.4,18.3
1-10,13.2,24.8,31.4,18.2
1-11,13.2,24.7,31.3,18.1
1-12,13.2,24.7,31.3,18
1-13,13.3,24.6,31.2,18
1-14,13.3,24.6,31.2,17.9
1-15,13.3,24.5,31.2,17.9
1-16,13.3,24.5,31.2,17.9
1-17,13.4,24.5,31.2,17.8
1-18,13.4,24.5,31.2,17.8
1-19,13.4,24.5,31.2,17.8
1-20,13.4,24.5,31.2,17.8
1-21,13.5,24.5,31.3,17.8
1-22,13.5,24.6,31.3,17.8
1-23,13.5,24.6,31.4,17.9
1-24,13.5,24.7,31.4,17.9
1-25,13.5,24.7,31.5,18
1-26,13.5,24.8,31.6,18
1-27,13.6,24.9,31.7,18.1
1-28,13.6,25,31.8,18.2
1-29,13.6,25.1,31.9,18.3
1-30,13.6,25.2,32,18.4
1-31,13.6,25.3,32.1,18.5
2-1,13.6,25.5,32.3,18.6
2-2,13.7,25.6,32.4,18.8
2-3,13.7,25.8,32.6,18.9
2-4,13.7,26,32.8,19.1
2-5,13.7,26.1,33,19.3
2-6,13.7,26.3,33.2,19.5
2-7,13.8,26.6,33.4,19.7
2-8,13.8,26.8,33.7,19.9
2-9,13.8,27,33.9,20.1
2-10,13.9,27.3,34.2,20.3
2-11,13.9,27.5,34.5,20.6
2-12,13.9,27.8,34.7,20.8
2-13,14,28.1,35,21.1
2-14,14,28.3,35.3,21.3
2-15,14,28.6,35.7,21.6
2-16,14.1,28.9,36,21.9
2-17,14.1,29.2,36.3,22.2
2-18,14.2,29.6,36.6,22.5
2-19,14.2,29.9,37,22.7
2-20,14.3,30.2,37.4,23
2-21,14.4,30.5,37.7,23.4
2-22,14.4,30.9,38.1,23.7
2-23,14.5,31.2,38.5,24
2-24,14.5,31.6,38.8,24.3
2-25,14.6,31.9,39.2,24.6
2-26,14.7,32.3,39.6,24.9
2-27,14.7,32.6,40,25.3
2-28,14.8,33,40.4,25.6
2-29,14.85,33.15,40.6,25.75
3-1,14.9,33.3,40.8,25.9
3-2,15,33.7,41.2,26.2
3-3,15,34.1,41.6,26.6
3-4,15.1,34.4,42,26.9
3-5,15.2,34.8,42.4,27.2
3-6,15.3,35.2,42.8,27.5
3-7,15.3,35.5,43.2,27.9
3-8,15.4,35.9,43.6,28.2
3-9,15.5,36.3,44,28.5
3-10,15.5,36.6,44.4,28.9
3-11,15.6,37,44.8,29.2
3-12,15.7,37.4,45.2,29.5
3-13,15.8,37.7,45.6,29.9
3-14,15.8,38.1,46,30.2
3-15,15.9,38.5,46.4,30.5
3-16,16,38.8,46.8,30.9
3-17,16,39.2,47.2,31.2
3-18,16.1,39.6,47.6,31.5
3-19,16.1,39.9,48,31.9
3-20,16.2,40.3,48.4,32.2
3-21,16.3,40.7,48.8,32.5
3-22,16.3,41,49.2,32.9
3-23,16.4,41.4,49.6,33.2
3-24,16.4,41.8,50,33.6
3-25,16.5,42.2,50.4,33.9
3-26,16.5,42.5,50.8,34.3
3-27,16.6,42.9,51.2,34.6
3-28,16.6,43.3,51.6,35
3-29,16.7,43.7,52,35.3
3-30,16.7,44.1,52.4,35.7
3-31,16.8,44.4,52.8,36.1
4-1,16.8,44.8,53.2,36.4
4-2,16.8,45.2,53.6,36.8
4-3,16.9,45.6,54,37.2
4-4,16.9,46,54.5,37.5
4-5,17,46.4,54.9,37.9
4-6,17,46.8,55.3,38.3
4-7,17.1,47.2,55.7,38.6
4-8,17.1,47.6,56.1,39
4-9,17.2,48,56.5,39.4
4-10,17.2,48.4,57,39.8
4-11,17.3,48.7,57.4,40.1
4-12,17.3,49.1,57.8,40.5
4-13,17.4,49.5,58.2,40.9
4-14,17.4,49.9,58.6,41.2
4-15,17.5,50.3,59,41.6
4-16,17.5,50.7,59.5,42
4-17,17.6,51.1,59.9,42.3
4-18,17.6,51.5,60.3,42.7
4-19,17.7,51.9,60.7,43
4-20,17.7,52.2,61.1,43.4
4-21,17.8,52.6,61.5,43.7
4-22,17.8,53,61.9,44.1
4-23,17.9,53.4,62.3,44.4
4-24,17.9,53.7,62.7,44.8
4-25,18,54.1,63.1,45.1
4-26,18.1,54.5,63.5,45.4
4-27,18.1,54.8,63.9,45.8
4-28,18.2,55.2,64.2,46.1
4-29,18.2,55.5,64.6,46.4
4-30,18.3,55.8,65,46.7
5-1,18.3,56.2,65.3,47
5-2,18.4,56.5,65.7,47.3
5-3,18.4,56.8,66,47.6
5-4,18.4,57.2,66.4,47.9
5-5,18.5,57.5,66.7,48.2
5-6,18.5,57.8,67.1,48.5
5-7,18.6,58.1,67.4,48.8
5-8,18.6,58.4,67.7,49.1
5-9,18.6,58.7,68,49.4
5-10,18.7,59,68.4,49.7
5-11,18.7,59.3,68.7,50
5-12,18.7,59.6,69,50.3
5-13,18.7,60,69.3,50.6
5-14,18.7,60.3,69.6,50.9
5-15,18.7,60.6,69.9,51.2
5-16,18.7,60.9,70.2,51.5
5-17,18.7,61.2,70.5,51.8
5-18,18.7,61.5,70.8,52.1
5-19,18.7,61.8,71.2,52.4
5-20,18.7,62.1,71.5,52.7
5-21,18.7,62.4,71.8,53.1
5-22,18.7,62.7,72.1,53.4
5-23,18.7,63,72.4,53.7
5-24,18.6,63.4,72.7,54
5-25,18.6,63.7,73,54.4
5-26,18.6,64,73.3,54.7
5-27,18.6,64.4,73.6,55.1
5-28,18.5,64.7,74,55.4
5-29,18.5,65,74.3,55.8
5-30,18.5,65.4,74.6,56.2
5-31,18.4,65.7,74.9,56.5
6-1,18.4,66.1,75.3,56.9
6-2,18.3,66.4,75.6,57.3
6-3,18.3,66.8,75.9,57.6
6-4,18.3,67.2,76.3,58
6-5,18.2,67.5,76.6,58.4
