id,name,city,latitude,longitude,dpcapacity,online_date,start_count,end_count,start_min,end_min,start_max,end_max,first_day_operational
2,Buckingham Fountain,Chicago,41.876393,-87.620328,27,6/10/2013 10:43,43695,40954,5/8/2015 12:24,5/8/2015 12:23,12/23/2017 14:57,12/24/2017 15:56,5/9/2015
3,Shedd Aquarium,Chicago,41.86722596,-87.61535539,55,6/10/2013 10:44,83540,81315,4/24/2015 14:24,4/24/2015 14:24,12/31/2017 13:29,12/31/2017 8:13,4/25/2015
4,Burnham Harbor,Chicago,41.856268,-87.613348,23,6/10/2013 10:46,59248,59965,5/16/2015 11:12,5/16/2015 11:07,12/29/2017 15:48,12/31/2017 14:29,5/17/2015
5,State St & Harrison St,Chicago,41.874053,-87.627716,23,6/10/2013 10:46,37470,38588,6/28/2013 7:08,6/28/2013 12:46,12/29/2017 17:14,12/31/2017 17:15,6/29/2013
6,Dusable Harbor,Chicago,41.885041,-87.612794,39,6/10/2013 11:18,61262,53848,4/24/2015 17:35,4/25/2015 1:30,12/29/2017 14:18,12/25/2017 8:13,4/25/2015
7,Field Blvd & South Water St,Chicago,41.88634906,-87.61751655,19,6/19/2013 10:00,30636,28499,4/18/2015 19:50,4/19/2015 6:53,12/31/2017 20:08,12/31/2017 21:28,4/19/2015
9,Leavitt St & Archer Ave,Chicago,41.82879202,-87.68060446,19,6/21/2013 9:33,2455,2443,4/15/2015 10:19,4/15/2015 17:43,12/28/2017 7:13,12/20/2017 17:16,4/16/2015
11,Jeffery Blvd & 71st St,Chicago,41.76663824,-87.57645011,11,6/21/2013 9:39,771,708,5/1/2015 16:20,5/1/2015 16:18,12/23/2017 18:32,12/29/2017 9:31,5/2/2015
12,South Shore Dr & 71st St,Chicago,41.76640946,-87.56568757,15,6/21/2013 10:00,2073,2047,4/26/2015 19:02,4/26/2015 21:00,12/19/2017 15:12,12/19/2017 15:11,4/27/2015
13,Wilton Ave & Diversey Pkwy,Chicago,41.932418,-87.652705,27,6/22/2013 18:29,48351,48740,6/29/2013 13:41,6/29/2013 15:26,12/31/2017 16:54,12/31/2017 16:13,6/30/2013
