,station_id,start_count,end_count,start_min,end_min,start_max,end_max
0,85,163988,175743,2013-06-27 12:06:00,2013-06-27 12:11:00,2017-12-31 12:05:00,2017-12-31 12:03:00
1,32,20657,19361,2013-06-27 14:44:00,2013-06-27 14:45:00,2017-12-31 11:57:00,2017-12-31 06:49:00
2,19,30047,30194,2013-06-27 15:06:00,2013-06-27 15:05:00,2017-12-31 16:33:00,2017-12-30 19:22:00
3,340,57191,57807,2013-06-27 19:23:00,2013-06-27 19:57:00,2017-12-31 23:48:00,2017-12-31 21:22:00
4,37,73178,71795,2013-06-27 18:45:00,2013-06-27 18:54:00,2017-12-29 16:23:00,2017-12-31 21:57:00
5,90,158329,174240,2013-06-27 19:34:00,2013-06-27 13:03:00,2017-12-31 20:22:00,2017-12-31 10:50:00
6,51,67862,66785,2013-06-27 19:46:00,2013-06-28 07:35:00,2017-12-31 13:50:00,2017-12-30 16:43:00
7,44,71310,68232,2013-06-27 18:57:00,2013-06-27 18:59:00,2017-12-31 19:45:00,2017-12-31 19:45:00
8,24,81759,79046,2013-06-27 19:52:00,2013-06-27 20:50:00,2017-12-31 18:17:00,2017-12-31 19:09:00
9,20,38807,42798,2013-06-27 20:22:00,2013-06-28 00:49:00,2017-12-31 12:44:00,2017-12-31 15:43:00
10,52,100781,102560,2013-06-27 19:42:00,2013-06-27 20:39:00,2017-12-31 15:45:00,2017-12-30 17:15:00
11,69,74961,81238,2013-06-27 21:39:00,2013-06-27 22:20:00,2017-12-31 20:05:00,2018-01-01 00:03:00
12,61,44462,46743,2013-06-27 14:39:00,2013-06-27 14:38:00,2017-12-30 16:56:00,2017-12-31 13:58:00
13,17,29789,31144,2013-06-27 11:24:00,2013-06-27 20:13:00,2017-12-30 13:59:00,2017-12-30 15:07:00
14,67,63306,63900,2013-06-27 23:05:00,2013-06-27 19:35:00,2017-12-31 22:45:00,2017-12-31 15:16:00
15,34,41087,43159,2013-06-27 16:14:00,2013-06-27 16:01:00,2017-12-29 15:31:00,2017-12-24 07:51:00
16,73,46919,42125,2013-06-28 00:04:00,2013-06-28 00:37:00,2017-12-31 10:43:00,2017-12-30 20:54:00
17,29,33869,33434,2013-06-28 00:10:00,2013-06-27 21:51:00,2017-12-31 13:11:00,2017-12-31 09:36:00
18,311,12074,12183,2013-06-28 00:23:00,2013-06-27 16:15:00,2017-12-31 12:20:00,2017-12-30 16:41:00
19,60,45753,46219,2013-06-27 21:41:00,2013-06-27 21:43:00,2017-12-31 16:47:00,2017-12-31 19:42:00
20,72,32210,34641,2013-06-28 05:11:00,2013-06-28 08:49:00,2017-12-31 15:13:00,2017-12-31 22:53:00
21,76,210255,203014,2013-06-27 19:29:00,2013-06-27 19:03:00,2017-12-28 13:38:00,2017-12-31 16:38:00
22,42,12819,13233,2013-06-27 16:34:00,2013-06-27 16:36:00,2017-12-29 16:09:00,2017-12-29 13:37:00
23,26,110255,111274,2013-06-28 07:13:00,2013-06-28 08:13:00,2017-12-31 21:21:00,2017-12-31 23:27:00
24,91,188313,182424,2013-06-27 01:06:00,2013-06-28 00:18:00,2017-12-31 21:08:00,2017-12-31 15:53:00
25,30,21704,20544,2013-06-28 07:10:00,2013-06-27 23:26:00,2017-12-31 16:04:00,2017-12-31 18:09:00
26,31,64207,63234,2013-06-27 20:50:00,2013-06-27 22:23:00,2017-12-31 19:21:00,2017-12-31 19:54:00
27,75,104105,99835,2013-06-28 06:31:00,2013-06-27 19:06:00,2017-12-31 13:17:00,2017-12-30 13:11:00
28,45,50700,47764,2013-06-27 13:00:00,2013-06-27 20:49:00,2017-12-31 16:27:00,2017-12-31 16:18:00
29,74,76372,72770,2013-06-27 20:57:00,2013-06-28 08:33:00,2017-12-31 15:20:00,2017-12-31 16:43:00
30,27,18151,17496,2013-06-28 09:05:00,2013-06-27 23:15:00,2017-12-31 19:18:00,2017-12-31 19:36:00
31,48,77553,79495,2013-06-28 06:36:00,2013-06-27 09:46:00,2017-12-30 06:44:00,2017-12-31 15:11:00
32,88,26987,27522,2013-06-27 11:09:00,2013-06-27 11:11:00,2017-12-31 17:42:00,2017-12-31 17:37:00
33,54,33336,34343,2013-06-27 20:21:00,2013-06-27 19:34:00,2017-12-30 15:24:00,2017-12-31 17:52:00
34,341,80204,79601,2013-06-28 09:49:00,2013-06-29 16:40:00,2017-12-31 14:18:00,2017-12-31 12:48:00
35,127,37293,37319,2013-06-28 10:00:00,2013-06-28 10:24:00,2017-12-31 14:36:00,2017-12-31 18:02:00
36,164,59710,54137,2013-06-28 10:01:00,2013-06-28 08:09:00,2017-12-30 11:59:00,2017-12-31 12:13:00
